Date,Distributor_ID,SKU_ID,Primary_Billing_Value,Secondary_Sales_Value,Inventory_Units,Inventory_Days,Credit_Outstanding,Credit_Days,Scheme_Active,Competitor_Price_Index
2025-12-01,D019,SKU27,32983.6,33651.23,373,20,190017.33,22,Yes,0.42
2025-12-01,D019,SKU19,38559.08,38003.96,809,20,200789.12,24,Yes,0.37
2025-12-01,D019,SKU01,52233.91,52729.36,246,16,214938.76,27,Yes,0.51
2025-12-01,D020,SKU25,57482.7,53987.27,586,15,391482.74,32,Yes,0.45
2025-12-01,D021,SKU10,38737.79,35206.2,557,24,235041.45,30,Yes,0.54
2025-12-01,D022,SKU36,24963.92,21741.42,333,15,276837.4,24,Yes,0.48
2025-12-01,D022,SKU42,24871.84,25798.13,394,18,160134.74,22,No,0.44
2025-12-01,D023,SKU68,64502.24,57544.54,633,24,268117.31,32,Yes,0.46
2025-12-01,D023,SKU39,56213.24,49260.42,441,16,286250.99,24,Yes,0.53
2025-12-01,D024,SKU42,31902.76,31200.92,571,25,240371.45,22,Yes,0.35
2025-12-01,D025,SKU30,36294.78,31507.37,428,25,300457.26,29,Yes,0.33
2025-12-01,D026,SKU41,76407.38,65867.25,442,12,459911.0,32,No,0.39
2025-12-01,D027,SKU14,30793.25,26763.74,508,25,179836.0,23,Yes,0.46
2025-12-01,D027,SKU06,32983.04,30614.24,538,17,312529.98,32,Yes,0.42
2025-12-01,D028,SKU10,50612.99,51339.86,748,17,235452.0,22,No,0.38
2025-12-01,D028,SKU48,50330.64,43987.26,475,14,540386.3,31,Yes,0.31
2025-12-01,D028,SKU14,59970.81,60193.9,465,12,311431.09,23,Yes,0.47
2025-12-01,D029,SKU25,60074.59,52822.07,510,18,152571.61,31,Yes,0.32
2025-12-01,D029,SKU19,46526.03,40804.88,316,18,233883.38,31,No,0.44
2025-12-01,D030,SKU01,54337.7,48525.76,661,12,138312.42,30,Yes,0.36
2025-12-01,D031,SKU56,34662.42,31518.79,380,17,265115.57,28,No,0.49
2025-12-01,D031,SKU31,33131.77,28814.01,552,21,339994.65,27,Yes,0.49
2025-12-01,D031,SKU06,36170.32,30896.29,343,23,200619.28,26,Yes,0.54
2025-12-01,D032,SKU60,22020.93,19443.66,594,17,236090.99,28,Yes,0.48
2025-12-01,D032,SKU33,38120.24,34030.03,778,14,336266.11,25,Yes,0.51
2025-12-01,D032,SKU45,36066.95,34323.91,638,22,280490.74,24,Yes,0.44
2025-12-01,D033,SKU65,37540.06,34819.71,670,20,149353.12,22,Yes,0.52
2025-12-01,D033,SKU33,32611.86,29190.47,416,18,188316.0,31,Yes,0.31
2025-12-01,D034,SKU08,55981.93,52714.67,682,19,347850.11,29,Yes,0.33
2025-12-01,D034,SKU61,45911.24,43035.82,709,19,417404.78,24,Yes,0.49
2025-12-01,D035,SKU40,52718.05,46739.99,697,22,105562.84,32,Yes,0.48
2025-12-01,D035,SKU29,47282.77,45345.18,292,25,236619.1,25,Yes,0.36
2025-12-01,D036,SKU52,30330.06,28955.07,440,14,312919.46,22,No,0.5
2025-12-01,D037,SKU17,57964.41,54593.95,288,19,221247.25,28,Yes,0.42
2025-12-01,D037,SKU14,53617.91,49169.85,766,15,184491.82,28,Yes,0.48
2025-12-01,D038,SKU10,61095.08,60475.76,343,22,341872.06,22,Yes,0.55
2025-12-01,D039,SKU70,54394.29,53593.89,606,15,135878.48,24,Yes,0.36
2025-12-01,D040,SKU57,44531.45,45240.28,696,19,153768.1,22,Yes,0.52
2025-12-01,D040,SKU62,35622.52,35019.02,327,19,301552.71,24,Yes,0.47
2025-12-01,D040,SKU28,40800.06,42026.69,712,20,224506.09,31,Yes,0.38
2025-12-01,D041,SKU19,41272.27,36458.77,704,18,307581.72,30,Yes,0.34
2025-12-01,D041,SKU32,37332.54,31922.67,376,23,363675.38,29,Yes,0.46
2025-12-01,D042,SKU21,29825.34,29392.2,453,24,263184.21,30,Yes,0.51
2025-12-01,D043,SKU46,47060.16,48406.93,484,19,201281.49,23,Yes,0.52
2025-12-01,D044,SKU20,59789.97,57070.44,512,17,243517.29,27,Yes,0.32
2025-12-01,D045,SKU59,66601.15,64516.34,341,14,253882.31,25,Yes,0.45
2025-12-01,D046,SKU56,57163.37,58310.62,440,13,191992.08,28,Yes,0.46
2025-12-01,D047,SKU64,66056.01,60746.37,674,18,352302.87,22,Yes,0.3
2025-12-01,D047,SKU33,59654.65,58419.31,651,18,541514.99,31,Yes,0.51
2025-12-01,D047,SKU26,66111.47,61457.29,227,25,330687.56,31,Yes,0.32
2025-12-01,D048,SKU12,58499.23,59004.0,515,16,266318.75,28,Yes,0.36
2025-12-01,D049,SKU31,29265.02,29289.98,768,23,495120.23,30,Yes,0.54
2025-12-01,D049,SKU14,28840.54,26574.37,383,19,456281.22,25,Yes,0.36
2025-12-01,D050,SKU06,30909.33,28019.13,239,18,197479.23,27,Yes,0.31
2025-12-01,D050,SKU55,21696.8,21764.27,593,23,126028.06,24,Yes,0.4
2025-12-01,D051,SKU19,35064.66,30168.9,747,12,257685.59,28,Yes,0.35
2025-12-01,D052,SKU59,42011.53,38287.43,240,13,225146.92,32,Yes,0.46
2025-12-01,D052,SKU51,40925.65,35346.28,642,14,313086.4,22,Yes,0.37
2025-12-01,D052,SKU54,44730.57,44153.04,549,15,220961.78,29,Yes,0.31
2025-12-01,D053,SKU31,28818.1,25498.72,480,24,116083.15,28,Yes,0.41
2025-12-01,D053,SKU70,45526.1,40637.37,291,19,226131.64,22,Yes,0.3
2025-12-01,D054,SKU58,84312.41,87393.36,594,15,403158.04,32,No,0.35
2025-12-01,D055,SKU68,57461.92,49723.36,248,24,492936.64,22,Yes,0.51
2025-12-01,D055,SKU19,55414.0,54108.63,392,25,341311.5,22,Yes,0.37
2025-12-01,D055,SKU29,39863.55,36424.19,433,14,502330.55,29,Yes,0.32
2025-12-01,D056,SKU20,69850.94,66812.48,444,19,142436.0,26,Yes,0.45
2025-12-01,D056,SKU04,46303.97,42481.18,362,21,146953.57,31,Yes,0.47
2025-12-01,D056,SKU44,71288.88,63508.65,296,24,207023.14,24,Yes,0.4
2025-12-01,D057,SKU57,52412.84,54292.24,776,12,229199.11,26,Yes,0.51
2025-12-01,D058,SKU05,54643.21,48906.13,637,23,191760.07,25,No,0.51
2025-12-01,D058,SKU53,43837.4,39703.16,444,13,210652.98,26,Yes,0.51
2025-12-01,D059,SKU30,44388.45,41301.99,344,24,170270.55,31,Yes,0.32
2025-12-01,D059,SKU64,51477.82,51302.83,600,20,212895.42,28,Yes,0.33
2025-12-01,D059,SKU09,58635.98,54286.69,295,20,167418.11,32,Yes,0.45
2025-12-01,D060,SKU36,76201.67,66217.86,708,13,371282.98,28,Yes,0.48
2025-12-01,D060,SKU47,57939.08,57251.69,694,23,372027.05,24,Yes,0.43
2025-12-01,D061,SKU21,44022.36,44496.08,691,22,206733.63,26,Yes,0.45
2025-12-01,D061,SKU49,48427.74,43813.94,751,24,288454.51,29,Yes,0.32
2025-12-01,D061,SKU43,41336.16,37669.34,445,17,366414.51,25,Yes,0.31
2025-12-01,D062,SKU10,37643.09,36188.45,428,19,441306.13,25,Yes,0.5
2025-12-01,D063,SKU34,53576.98,48085.11,595,17,246510.56,22,Yes,0.48
2025-12-01,D063,SKU48,45297.41,40074.59,508,14,348287.48,29,Yes,0.5
2025-12-01,D063,SKU03,52977.5,52985.66,481,17,269900.87,26,Yes,0.49
2025-12-01,D064,SKU58,32260.66,27453.99,455,20,158710.85,22,Yes,0.53
2025-12-01,D064,SKU27,45268.25,40950.03,391,13,181651.85,25,Yes,0.37
2025-12-01,D064,SKU25,54980.1,49476.14,751,20,287432.39,25,Yes,0.51
2025-12-01,D065,SKU16,78104.55,78075.82,750,19,195390.21,22,No,0.36
2025-12-01,D065,SKU69,43989.33,44271.31,418,18,147530.44,25,Yes,0.34
2025-12-01,D065,SKU07,47995.28,41057.56,796,17,189777.12,29,Yes,0.35
2025-12-01,D066,SKU40,30815.1,27766.48,641,23,191285.86,30,Yes,0.39
2025-12-01,D066,SKU68,29419.91,28983.45,624,16,314720.34,26,Yes,0.32
2025-12-01,D067,SKU65,32382.35,32741.35,389,17,472544.58,23,Yes,0.4
2025-12-01,D068,SKU20,33619.05,33628.82,366,15,265106.43,25,Yes,0.43
2025-12-01,D068,SKU01,28158.91,25723.47,475,23,303408.02,31,Yes,0.32
2025-12-01,D068,SKU24,24580.3,21843.28,699,21,240636.88,26,Yes,0.46
2025-12-01,D069,SKU31,38988.36,40822.17,478,15,230816.98,27,No,0.41
2025-12-01,D070,SKU29,40990.96,43015.17,708,14,267070.81,26,No,0.45
2025-12-01,D071,SKU32,30719.67,28067.1,756,16,402969.92,24,Yes,0.46
2025-12-01,D072,SKU53,66818.14,65798.51,327,25,304548.66,22,Yes,0.38
2025-12-01,D072,SKU64,44696.73,40012.81,678,19,261109.48,29,Yes,0.43
2025-12-01,D073,SKU22,55354.24,47900.49,435,25,224402.45,29,No,0.32
2025-12-01,D074,SKU56,36147.63,35630.65,609,19,247846.54,23,Yes,0.55
2025-12-01,D075,SKU40,30354.37,25876.13,261,14,210756.27,24,Yes,0.49
2025-12-01,D075,SKU01,23723.12,24220.39,473,13,401803.38,25,No,0.52
2025-12-01,D075,SKU20,23745.88,21106.11,627,21,288990.63,31,Yes,0.3
2025-12-01,D076,SKU58,33422.47,34575.1,719,18,216104.17,29,Yes,0.37
2025-12-01,D077,SKU10,67574.84,57779.18,587,16,290531.89,31,Yes,0.5
2025-12-01,D077,SKU52,73268.9,70592.99,307,24,406607.64,25,Yes,0.48
2025-12-01,D078,SKU07,49836.17,42506.35,297,14,308096.33,25,No,0.45
2025-12-01,D078,SKU04,39499.96,35893.89,271,14,281909.29,22,Yes,0.38
2025-12-01,D079,SKU40,66740.76,67569.38,719,16,442928.64,22,Yes,0.5
2025-12-01,D079,SKU01,38171.69,37467.17,470,23,391290.71,29,No,0.31
2025-12-01,D079,SKU32,59700.33,61530.12,442,16,286083.75,32,Yes,0.5
2025-12-01,D080,SKU43,44772.42,45158.03,610,13,248249.66,30,Yes,0.53
2025-12-01,D081,SKU37,38421.2,34630.16,493,25,317211.7,24,No,0.43
2025-12-01,D082,SKU15,31873.31,30172.76,471,21,373697.33,31,Yes,0.49
2025-12-01,D083,SKU32,43853.04,39136.96,321,19,234941.63,26,Yes,0.51
2025-12-01,D083,SKU60,53278.32,55737.58,478,20,368043.93,30,Yes,0.43
2025-12-01,D084,SKU24,41043.54,41657.61,234,18,323704.16,27,Yes,0.44
2025-12-01,D085,SKU47,23095.38,21081.66,270,15,282904.09,32,Yes,0.35
2025-12-01,D086,SKU62,40617.88,34532.86,229,24,238800.67,32,Yes,0.54
2025-12-01,D086,SKU38,53803.66,51658.62,743,12,273256.12,24,Yes,0.48
2025-12-01,D086,SKU34,45701.15,45529.78,591,16,459815.75,24,Yes,0.54
2025-12-01,D087,SKU60,52180.82,51736.51,733,13,433432.95,29,Yes,0.52
2025-12-01,D087,SKU39,63453.28,55510.29,526,17,258383.93,32,No,0.48
2025-12-01,D088,SKU25,29695.11,25509.0,509,18,294254.68,29,Yes,0.51
2025-12-01,D089,SKU67,62462.58,63112.67,786,12,138457.96,29,No,0.43
2025-12-01,D089,SKU17,43604.56,39821.56,438,17,242519.15,23,Yes,0.42
2025-12-01,D090,SKU66,46324.16,39966.58,775,25,318320.13,22,Yes,0.37
2025-12-01,D090,SKU19,50978.08,47177.17,788,19,434375.58,28,No,0.41
2025-12-01,D091,SKU49,48492.11,46549.68,585,21,272084.2,29,Yes,0.52
2025-12-01,D091,SKU60,64373.15,55420.27,245,15,401389.0,26,Yes,0.43
2025-12-01,D091,SKU10,54914.39,51832.67,486,19,374816.73,29,No,0.38
2025-12-01,D092,SKU26,20909.88,19611.64,439,23,394047.57,24,Yes,0.36
2025-12-01,D092,SKU65,23575.8,20449.49,212,20,329259.68,28,No,0.54
2025-12-01,D092,SKU25,28440.69,29348.49,322,19,236399.7,23,Yes,0.5
2025-12-01,D093,SKU52,40466.43,35869.95,717,23,310168.72,26,Yes,0.51
2025-12-01,D094,SKU11,23743.88,22060.05,610,25,319728.78,29,Yes,0.5
2025-12-01,D094,SKU56,24616.45,22448.57,414,19,375487.23,30,No,0.47
2025-12-01,D095,SKU42,54274.1,55782.93,716,23,189267.49,24,Yes,0.46
2025-12-01,D096,SKU43,36151.18,32590.14,641,17,269490.13,30,Yes,0.37
2025-12-01,D096,SKU36,50969.4,51835.61,200,16,444357.51,26,Yes,0.33
2025-12-01,D097,SKU08,24677.49,21034.69,739,25,151440.23,24,Yes,0.48
2025-12-01,D097,SKU22,35049.04,33303.88,694,17,225155.54,27,Yes,0.33
2025-12-01,D097,SKU14,36459.94,33557.21,710,18,203604.22,29,Yes,0.47
2025-12-01,D098,SKU32,68160.58,68589.48,426,21,247804.69,28,Yes,0.51
2025-12-01,D099,SKU06,23245.11,22295.17,211,17,456849.56,29,Yes,0.35
2025-12-01,D099,SKU57,26045.03,26400.85,643,18,345887.12,32,Yes,0.44
2025-12-01,D100,SKU34,43960.83,38795.97,366,19,151693.24,22,No,0.38
2025-12-01,D100,SKU06,56133.12,52852.07,567,25,116655.7,23,Yes,0.52
2025-12-01,D100,SKU45,76860.18,80392.73,653,13,223300.08,30,Yes,0.34
2025-12-01,D101,SKU22,38153.37,33608.66,337,18,400822.51,32,Yes,0.31
2025-12-01,D102,SKU14,61532.03,61146.83,674,24,373490.65,26,Yes,0.42
2025-12-01,D103,SKU30,36592.58,37144.69,565,22,251594.39,23,Yes,0.34
2025-12-01,D103,SKU69,39562.76,38504.78,708,18,223043.28,27,Yes,0.46
2025-12-01,D103,SKU52,38219.54,38685.32,648,25,322797.89,30,No,0.54
2025-12-01,D104,SKU08,64882.64,58605.0,453,22,114799.24,32,Yes,0.33
2025-12-01,D105,SKU12,77247.01,73175.83,294,18,345342.66,23,Yes,0.33
2025-12-01,D106,SKU68,28709.53,30141.91,273,19,240027.46,24,Yes,0.5
2025-12-01,D106,SKU18,35904.85,32563.36,230,12,174108.48,27,Yes,0.49
2025-12-01,D106,SKU37,47857.13,41420.19,517,17,118760.02,27,Yes,0.33
2025-12-01,D107,SKU58,71600.76,61175.43,737,18,358147.05,31,Yes,0.5
2025-12-01,D108,SKU30,56774.04,53021.07,361,14,187549.64,23,Yes,0.47
2025-12-01,D109,SKU64,38214.21,33573.37,430,19,317207.68,31,No,0.54
2025-12-01,D109,SKU26,36725.59,37593.03,679,22,454124.53,26,Yes,0.39
2025-12-01,D110,SKU60,40268.46,39424.74,204,24,377584.3,29,Yes,0.51
2025-12-01,D110,SKU23,49745.94,43011.18,819,14,275894.47,23,Yes,0.55
2025-12-01,D110,SKU02,35385.91,33745.46,573,21,212251.57,26,Yes,0.44
2025-12-01,D111,SKU61,68133.06,62397.26,477,19,216829.25,26,No,0.43
2025-12-01,D111,SKU04,48515.75,43170.84,581,25,239275.5,29,No,0.4
2025-12-01,D112,SKU48,69891.63,68493.13,849,17,318612.39,31,Yes,0.46
2025-12-01,D112,SKU15,72364.08,70625.5,508,12,235137.74,32,Yes,0.4
2025-12-01,D113,SKU03,39246.09,33987.26,762,25,238183.42,32,Yes,0.51
2025-12-01,D114,SKU60,45816.71,47306.66,697,25,279275.15,26,Yes,0.43
2025-12-01,D115,SKU52,58709.2,61032.49,519,15,109317.51,32,No,0.41
2025-12-01,D116,SKU13,47969.72,45734.39,351,22,159193.17,23,Yes,0.4
2025-12-01,D116,SKU17,56387.01,55617.04,235,16,119159.86,29,No,0.5
2025-12-01,D117,SKU45,35972.88,31391.69,355,13,222132.59,26,Yes,0.52
2025-12-01,D117,SKU35,42469.75,44547.06,639,14,240470.14,25,No,0.32
2025-12-01,D118,SKU30,21195.7,18484.95,523,20,117788.57,30,Yes,0.42
2025-12-01,D118,SKU59,28476.79,28759.81,345,16,180983.09,29,Yes,0.41
2025-12-01,D118,SKU47,34756.49,29904.99,473,23,92688.93,27,Yes,0.5
2025-12-01,D119,SKU38,24788.27,22064.69,265,14,393308.35,25,Yes,0.38
2025-12-01,D119,SKU61,25808.95,24144.32,591,25,398060.24,30,Yes,0.38
2025-12-01,D120,SKU46,35178.44,36077.94,198,16,218320.12,30,No,0.46
2025-12-01,D120,SKU62,34143.27,34907.23,554,22,235902.44,32,Yes,0.43
2025-12-02,D001,SKU21,30066.61,28398.37,565,13,413519.65,32,Yes,0.31
2025-12-02,D001,SKU51,44237.15,44699.01,238,21,279192.16,30,Yes,0.47
2025-12-02,D002,SKU31,59097.33,62014.47,438,22,113181.74,23,Yes,0.52
2025-12-02,D002,SKU51,42487.46,36267.19,622,23,210758.35,26,Yes,0.32
2025-12-02,D002,SKU66,54284.3,54664.36,339,14,193539.27,22,Yes,0.33
2025-12-02,D003,SKU03,45720.01,41380.54,696,13,294347.11,23,Yes,0.38
2025-12-02,D003,SKU38,60671.78,63658.82,828,14,161283.2,28,Yes,0.38
2025-12-02,D004,SKU65,33701.01,30792.29,746,18,221048.06,31,Yes,0.37
2025-12-02,D004,SKU17,42602.04,36809.03,394,18,240991.61,32,No,0.42
2025-12-02,D004,SKU55,34290.14,30052.12,661,21,224825.25,28,Yes,0.37
2025-12-02,D005,SKU20,75839.55,66033.69,233,23,224568.82,27,Yes,0.33
2025-12-02,D005,SKU11,82082.81,76972.09,646,15,338067.46,27,No,0.54
2025-12-02,D006,SKU23,52682.96,54936.9,605,20,192360.84,32,Yes,0.31
2025-12-02,D006,SKU19,48999.79,42576.47,601,16,208507.04,25,Yes,0.45
2025-12-02,D006,SKU66,58590.18,50429.47,665,13,123095.46,32,Yes,0.46
2025-12-02,D007,SKU18,26787.93,27214.91,204,12,139306.81,27,Yes,0.41
2025-12-02,D007,SKU27,22673.27,19829.68,332,24,173476.63,31,Yes,0.47
2025-12-02,D007,SKU66,33574.35,28628.96,823,15,115540.29,31,Yes,0.55
2025-12-02,D008,SKU55,46037.15,40517.71,546,24,170237.97,24,Yes,0.43
2025-12-02,D009,SKU08,77564.94,73643.89,228,16,142459.25,24,Yes,0.37
2025-12-02,D009,SKU11,81370.7,84799.9,766,16,180690.05,24,No,0.55
2025-12-02,D009,SKU06,47307.12,48740.03,238,14,220684.13,22,Yes,0.52
2025-12-02,D010,SKU35,36312.13,38094.94,562,12,190246.87,24,Yes,0.33
2025-12-02,D011,SKU52,36236.27,33646.02,643,20,259575.53,23,Yes,0.51
2025-12-02,D012,SKU63,45806.0,47420.94,638,24,462414.3,27,Yes,0.35
2025-12-02,D012,SKU02,74684.92,68669.61,315,19,386612.5,30,Yes,0.39
2025-12-02,D013,SKU19,39161.31,40567.24,264,23,191850.03,32,Yes,0.44
2025-12-02,D013,SKU58,42857.09,38762.4,681,22,191215.72,22,No,0.46
2025-12-02,D013,SKU20,48101.71,46365.45,697,25,309546.7,28,Yes,0.34
2025-12-02,D014,SKU44,38433.74,37958.07,735,23,188112.8,29,No,0.41
2025-12-02,D015,SKU69,27979.69,27535.04,561,21,309554.57,24,No,0.4
2025-12-02,D016,SKU21,27766.93,24702.19,799,20,211918.18,27,Yes,0.46
2025-12-02,D016,SKU06,37517.27,39191.62,828,16,263422.76,29,Yes,0.39
2025-12-02,D017,SKU70,69278.1,61358.93,329,24,221010.91,23,Yes,0.54
2025-12-02,D017,SKU51,49084.02,50098.55,779,23,429850.9,25,Yes,0.49
2025-12-02,D018,SKU13,43728.68,39878.19,610,17,235905.12,29,Yes,0.38
2025-12-02,D019,SKU01,29569.4,28746.82,286,17,172171.58,28,Yes,0.5
2025-12-02,D019,SKU39,51698.48,49459.71,481,17,122505.8,24,Yes,0.41
2025-12-02,D019,SKU33,51144.34,52554.49,663,13,130060.98,23,Yes,0.49
2025-12-02,D020,SKU14,40817.95,37309.13,668,13,465957.48,27,Yes,0.4
2025-12-02,D021,SKU55,31150.91,32216.71,277,21,151467.54,30,Yes,0.36
2025-12-02,D021,SKU15,25430.48,26412.21,327,18,218527.07,27,Yes,0.35
2025-12-02,D021,SKU08,36192.34,33550.0,613,25,162974.57,22,Yes,0.5
2025-12-02,D022,SKU37,29165.88,28074.08,451,17,212329.43,23,Yes,0.37
2025-12-02,D022,SKU44,37567.14,38478.35,411,14,188211.31,32,Yes,0.32
2025-12-02,D022,SKU42,35754.85,32962.7,321,17,174877.06,30,Yes,0.45
2025-12-02,D023,SKU54,48266.38,50448.21,831,15,317053.13,28,Yes,0.38
2025-12-02,D023,SKU66,49616.49,42352.22,780,12,161013.04,31,Yes,0.43
2025-12-02,D024,SKU59,54212.63,54988.72,484,12,321700.58,24,Yes,0.34
2025-12-02,D024,SKU65,51922.46,52557.6,515,17,193052.91,27,No,0.42
2025-12-02,D024,SKU33,45737.13,46469.23,322,21,197109.2,32,Yes,0.51
2025-12-02,D025,SKU02,30014.78,31104.52,233,13,385688.94,30,Yes,0.43
2025-12-02,D026,SKU68,75708.43,75541.05,685,17,258789.81,24,Yes,0.51
2025-12-02,D026,SKU70,62721.68,62833.18,510,24,350218.85,31,Yes,0.46
2025-12-02,D027,SKU38,33515.35,34233.87,350,14,185590.96,31,No,0.34
2025-12-02,D028,SKU02,51344.92,51776.68,416,19,326815.22,32,Yes,0.32
2025-12-02,D029,SKU62,90031.42,83629.91,724,18,236343.03,26,Yes,0.49
2025-12-02,D029,SKU58,50122.36,51069.89,730,13,181900.37,27,Yes,0.55
2025-12-02,D029,SKU65,68967.36,70127.55,478,22,211581.67,32,Yes,0.39
2025-12-02,D030,SKU23,62101.85,65048.14,473,12,296122.16,25,Yes,0.4
2025-12-02,D030,SKU29,59319.09,55363.6,262,12,253809.72,25,Yes,0.38
2025-12-02,D030,SKU05,41599.61,41938.26,466,24,138271.96,24,Yes,0.37
2025-12-02,D031,SKU47,43289.29,38500.92,502,13,368199.2,22,Yes,0.51
2025-12-02,D031,SKU16,36249.6,36174.26,621,14,281493.48,24,Yes,0.48
2025-12-02,D032,SKU44,32103.51,31174.72,402,20,224136.42,30,Yes,0.31
2025-12-02,D032,SKU03,24735.7,24782.34,586,13,284907.57,28,Yes,0.41
2025-12-02,D032,SKU62,25556.87,24929.79,233,18,281545.7,22,Yes,0.54
2025-12-02,D033,SKU52,45058.22,39685.71,530,21,200044.82,28,Yes,0.53
2025-12-02,D034,SKU37,55141.26,50806.05,610,16,242144.03,23,Yes,0.41
2025-12-02,D034,SKU63,39228.38,34501.76,540,14,436431.09,31,Yes,0.32
2025-12-02,D034,SKU54,51253.13,47321.57,560,13,424819.85,28,Yes,0.54
2025-12-02,D035,SKU57,40830.06,37123.23,623,21,172957.86,28,Yes,0.34
2025-12-02,D036,SKU08,37304.27,34878.23,597,23,352116.76,27,Yes,0.47
2025-12-02,D036,SKU03,29436.61,30859.57,338,13,506144.42,30,Yes,0.38
2025-12-02,D037,SKU20,50599.96,44380.41,701,15,207965.1,27,Yes,0.34
2025-12-02,D037,SKU49,53770.47,55849.22,362,15,255194.11,23,No,0.44
2025-12-02,D037,SKU55,49720.21,45502.84,443,14,244785.37,31,No,0.45
2025-12-02,D038,SKU69,41015.89,37086.26,271,14,222749.61,32,Yes,0.37
2025-12-02,D038,SKU16,61330.83,52522.31,752,24,177683.2,31,Yes,0.37
2025-12-02,D038,SKU54,59360.2,57141.63,750,22,162556.29,32,Yes,0.41
2025-12-02,D039,SKU24,48943.7,44108.92,502,14,134128.86,29,No,0.32
2025-12-02,D039,SKU02,39926.44,40305.88,675,22,139325.66,26,Yes,0.46
2025-12-02,D040,SKU67,57933.2,58986.7,285,17,271078.42,30,No,0.45
2025-12-02,D040,SKU65,47222.04,49290.72,652,19,236769.21,22,No,0.44
2025-12-02,D040,SKU02,38212.62,37589.67,471,13,268402.27,32,Yes,0.3
2025-12-02,D041,SKU46,54907.31,55036.27,722,18,210598.28,29,Yes,0.55
2025-12-02,D042,SKU41,22887.72,19496.91,248,19,323441.45,31,Yes,0.42
2025-12-02,D042,SKU50,25414.2,22451.58,482,21,309175.99,29,Yes,0.36
2025-12-02,D042,SKU33,34196.82,30427.16,278,19,336223.43,23,Yes,0.34
2025-12-02,D043,SKU50,45333.03,45075.33,297,20,255770.19,32,No,0.51
